"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"lucy:Lucy_Observation_Time_Information:1","Class","Lucy_Observation_Time_Information","1.0.0.0","lucy","Lucy Mission observation identification and timing information.","katecrombie","","","","","","","","","","",""
"lucy:Lucy_Observation_Time_Information:2 lucy:observation_id:1                ","Attribute","observation_id","n/a","lucy","The Lucy Mission observation identifier. ","katecrombie","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:Lucy_Observation_Time_Information:2 lucy:observation_id_count:1          ","Attribute","observation_id_count","n/a","lucy","The Lucy Mission observation identifier counter. This number increments by 1 with each planned observation sequence. ","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:Lucy_Observation_Time_Information:2 lucy:observation_complete:1          ","Attribute","observation_complete","n/a","lucy","The Lucy Mission observation is complete. ","katecrombie","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Time_Information:2 lucy:observation_missing_packets:1   ","Attribute","observation_missing_packets","n/a","lucy","The number of missing packets in the observation. The best data quality has no missing packets. ","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:Lucy_Observation_Time_Information:2 lucy:start_sclk:1                    ","Attribute","start_sclk","n/a","lucy","The Lucy spacecraft clock (SCLK) time (in seconds) at the start of the observation. ","katecrombie","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_sclk:1                      ","Attribute","mid_sclk","n/a","lucy","The Lucy spacecraft clock (SCLK) time (in seconds) at the mid-time of the observation. ","katecrombie","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lucy:Lucy_Observation_Time_Information:2 lucy:stop_sclk:1                     ","Attribute","stop_sclk","n/a","lucy","The Lucy spacecraft clock (SCLK) time (in seconds) at the end of the observation. ","katecrombie","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_utc:1                       ","Attribute","mid_utc","n/a","lucy","The middle time of the observation in ISO UTC format ""YYYY-MM-DDTHH:MM:SS.sss"" ","katecrombie","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_sclk_string:1               ","Attribute","mid_sclk_string","n/a","lucy","The middle time of the observation in Lucy spacecraft clock string partition/SSSSSSSSSS-PPPPP, where S is seconds and P are ticks in units of 1/66535 of a second. ","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_utc_doy:1                   ","Attribute","mid_utc_doy","n/a","lucy","The middle time of the observation in ISO DOY format, YYYY-DOYTHH:MM:SS.sss","katecrombie","ASCII_Date_Time_DOY_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_utc_jd:1                    ","Attribute","mid_utc_jd","n/a","lucy","The middle time of the observation in Julian day format,","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_Time","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Time_Information:2 lucy:mid_ephemeris_time:1            ","Attribute","mid_ephemeris_time","n/a","lucy","The middle time of the observation in ephemeris time, seconds past J2000, TDB.","katecrombie","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"lucy:Lucy_Observation_Time_Information:2 lucy:ccsds_sclk_time:1               ","Attribute","ccsds_sclk_time","n/a","lucy","The Lucy spacecraft clock time of the CCSDS playback timestamp in seconds.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"lucy:Lucy_Observation_Planning:1     ","Class","Lucy_Observation_Planning","1.0.0.0","lucy","The Lucy Mission observation planning class and attributes describe the observation planning information needed to understand the planned spacecraft observations.","katecrombie","","","","","","","","","","",""
"lucy:Lucy_Observation_Planning:2      lucy:load_identifier:1               ","Attribute","load_identifier","n/a","lucy","The command sequence load identifier","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:mission_segment:1               ","Attribute","mission_segment","n/a","lucy","The Lucy Mission segment","katecrombie","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:mission_segment:2                Value:Cruise_1","Value","Cruise_1","","","The Cruise_1 Lucy Mission segment from date XXXX to date XXX."
"lucy:Lucy_Observation_Planning:2      lucy:mission_segment:2                Value:EGA_1","Value","EGA_1","","","The EGA_1 (Earth Gravity Assist) Lucy Mission segment from date XXXX to date XXX."
"lucy:Lucy_Observation_Planning:2      lucy:sap_identifier:1                ","Attribute","sap_identifier","n/a","lucy","The Lucy Mission science activity plan identifier.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:visit_name:1                    ","Attribute","visit_name","n/a","lucy","The Lucy Mission trojan asteroid visit name.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:instrument_side:1               ","Attribute","instrument_side","n/a","lucy","The Lucy elctronics side.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:instrument_side:2                Value:N/A","Value","N/A","","","Not applicable."
"lucy:Lucy_Observation_Planning:2      lucy:instrument_side:2                Value:SIDE_1","Value","SIDE_1","","","The ""A"" electronics side. This is the default electronics side."
"lucy:Lucy_Observation_Planning:2      lucy:instrument_side:2                Value:SIDE_2","Value","SIDE_2","","","The ""B"" electronics side. This is the redundant fault protection side used in case of an error on the ""A"" side."
"lucy:Lucy_Observation_Planning:2      lucy:llorri_status:1                 ","Attribute","llorri_status","n/a","lucy","The status of the L'LORRI instrument.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:llorri_status:2                  Value:ACTIVE","Value","ACTIVE","","","The instrument is active."
"lucy:Lucy_Observation_Planning:2      lucy:llorri_status:2                  Value:POWERED","Value","POWERED","","","The instrument is powered."
"lucy:Lucy_Observation_Planning:2      lucy:llorri_status:2                  Value:UNKNOWN","Value","UNKNOWN","","","The instrument status is unknown."
"lucy:Lucy_Observation_Planning:2      lucy:llorri_status:2                  Value:UNPOWERED","Value","UNPOWERED","","","The instrument is unpowered."
"lucy:Lucy_Observation_Planning:2      lucy:lralph_status:1                 ","Attribute","lralph_status","n/a","lucy","The status of the L'RALPH instrument.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:lralph_status:2                  Value:ACTIVE","Value","ACTIVE","","","The instrument is active."
"lucy:Lucy_Observation_Planning:2      lucy:lralph_status:2                  Value:POWERED","Value","POWERED","","","The instrument is powered."
"lucy:Lucy_Observation_Planning:2      lucy:lralph_status:2                  Value:UNKNOWN","Value","UNKNOWN","","","The instrument status is unknown."
"lucy:Lucy_Observation_Planning:2      lucy:lralph_status:2                  Value:UNPOWERED","Value","UNPOWERED","","","The instrument is unpowered."
"lucy:Lucy_Observation_Planning:2      lucy:ltes_status:1                   ","Attribute","ltes_status","n/a","lucy","The status of the L'TES instrument.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:ltes_status:2                    Value:ACTIVE","Value","ACTIVE","","","The instrument is active."
"lucy:Lucy_Observation_Planning:2      lucy:ltes_status:2                    Value:POWERED","Value","POWERED","","","The instrument is powered."
"lucy:Lucy_Observation_Planning:2      lucy:ltes_status:2                    Value:UNKNOWN","Value","UNKNOWN","","","The instrument status is unknown."
"lucy:Lucy_Observation_Planning:2      lucy:ltes_status:2                    Value:UNPOWERED","Value","UNPOWERED","","","The instrument is unpowered."
"lucy:Lucy_Observation_Planning:2      lucy:ttcam_status:1                  ","Attribute","ttcam_status","n/a","lucy","The status of the TTCAM instrument.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Observation_Planning:2      lucy:ttcam_status:2                   Value:ACTIVE","Value","ACTIVE","","","The instrument is active."
"lucy:Lucy_Observation_Planning:2      lucy:ttcam_status:2                   Value:POWERED","Value","POWERED","","","The instrument is powered."
"lucy:Lucy_Observation_Planning:2      lucy:ttcam_status:2                   Value:UNKNOWN","Value","UNKNOWN","","","The instrument status is unknown."
"lucy:Lucy_Observation_Planning:2      lucy:ttcam_status:2                   Value:UNPOWERED","Value","UNPOWERED","","","The instrument is unpowered."
"lucy:Lucy_Target_List:1              ","Class","Lucy_Target_List","1.0.0.0","lucy","The Lucy Mission class that contains the target list of potential targets in a given observation.","katecrombie","","","","","","","","","","",""
"lucy:Lucy_Target_List:2               lucy:target_fov_count:1              ","Attribute","target_fov_count","n/a","lucy","The number of possible targets in FOV (SPICE-derived).","katecrombie","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:Lucy_Target_List:2               lucy:target_fov_name:1               ","Attribute","target_fov_name","n/a","lucy","The name of the possible target in FOV (SPICE-derived).","katecrombie","ASCII_Short_String_Preserved","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:Lucy_Product_Information:1      ","Class","Lucy_Product_Information","1.0.0.0","lucy","The Lucy Mission class that contains attributes specific to the labeled data product.","katecrombie","","","","","","","","","","",""
"lucy:Lucy_Product_Information:2       lucy:internal_product_version_id:1   ","Attribute","internal_product_version_id","n/a","lucy","The Lucy pipeline internal data processing version number. This number is likely to be grater than the PDS version number given in the version_id attribute in the Observation_Area.","katecrombie","ASCII_Integer","1","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:LLORRI_Instrument_Parameters:1  ","Class","LLORRI_Instrument_Parameters","1.0.0.0","lucy","The Lucy LORRI instrument class that contains instrument specific attributes relevant to the labeled data product.","katecrombie","","","","","","","","","","",""
"lucy:LLORRI_Instrument_Parameters:2   lucy:attached_sync_marker_dec:1      ","Attribute","attached_sync_marker_dec","n/a","lucy","Attached Sync Marker, decimal representation.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:LLORRI_Instrument_Parameters:2   lucy:attached_sync_marker_hex:1      ","Attribute","attached_sync_marker_hex","n/a","lucy","Attached Sync Marker, hexidecimal representation.","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:LLORRI_Instrument_Parameters:2   lucy:latch_count:1                   ","Attribute","latch_count","n/a","lucy","The number of times a latchup has occurred.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"lucy:LLORRI_Instrument_Parameters:2   lucy:calibration_lamp_level_1:1      ","Attribute","calibration_lamp_level_1","n/a","lucy","The Digital Number (DN) setting for calibration lamp one.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"lucy:LLORRI_Instrument_Parameters:2   lucy:calibration_lamp_level_2:1      ","Attribute","calibration_lamp_level_2","n/a","lucy","The Digital Number (DN) setting for calibration lamp two.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_Misc","none","TBD_classConcept","INTEGER"
"lucy:LRalph_Instrument_Common_Parameters:1","Class","LRalph_Instrument_Common_Parameters","1.0.0.0","lucy","The Lucy LRalph instrument class that contains the common (LEISA and MVIC) instrument specific attributes relevant to the labeled data product.","katecrombie","","","","","","","","","","",""
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_start:1                ","Attribute","playback_start","n/a","lucy","Playback science header timstamp of the first m4 packet used in spacecraft clock seconds.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_end:1                  ","Attribute","playback_end","n/a","lucy","Playback science header timstamp of the last m4 packet used in spacecraft clock seconds.","katecrombie","ASCII_Integer","0","1","-9223372036854775808","9223372036854775807","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","INTEGER"
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_bad_pixel_mask_status:1","Attribute","playback_bad_pixel_mask_status","n/a","lucy","Status of the bad pixel map, true or false","katecrombie","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_truncation_status:1    ","Attribute","playback_truncation_status","n/a","lucy","Status of the truncation enabled, true or false","katecrombie","ASCII_Boolean","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","BOOLEAN"
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_header_type:1          ","Attribute","playback_header_type","n/a","lucy","Playback header type","katecrombie","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"lucy:LRalph_Instrument_Common_Parameters:2 lucy:playback_header_type:2           Value:LEISA_CDS","Value","LEISA_CDS","","","LIESA CDS mode is selected for the current observation (TBR)"
